post_date,post_title,final_content,source_file
2006-07-07 03:02:00,Job Satisfaction.,"<p>I love my job. No, honest &#8211; it&#8217;s very nearly perfect. The people are excellent, the food&#8217;s great, and I&#8217;m doing a lot of the stuff that I love doing. Learning a lot as well &#8211; I now know what an ETF is. ;)</p>
<p>This is going to be one of those entries where I talk about what I did today. If you don&#8217;t like those or would rather read something else in the vast array of blogs, go there now. This could be boring. Oh, wait &#8211; the brownies are done.</p>
<p>Not quite. The toothpick still garners brownie residue.</p>
<p>Woke up almost exactly 30 minutes past my alarm clock (thanks, Mom). I&#8217;ve discovered that I&#8217;m much more comfortable when I sleep in pants, interestingly enough. That&#8217;s pants versus your standard pajama-style pants.</p>
<p>Skipped breakfast (I know, bad for you) and stopped by Metro Screen Printing on my way to work. They&#8217;ll sell their blank shirts for $5, and as they&#8217;re the only shirts that really fit me (honestly, no one sells clothing for people who aren&#8217;t semi-obese). Bought two ($10.13-ish) and picked up a latte from Magic Jo. Double shot, iced 2%, with rum. It&#8217;s a scaled down of my usual (double iced, breve [half&#38;half], 1.5 shots rum, .5 shots javalua), but (the brownies are still not done) it&#8217;s considerably less expensive. And this I like.</p>
<p>Work went well, as usual. Found six-ish optical mice in the basement, along with the double 15&#8221; LCD display that I found yesterday. The things you find&#8230;</p>
<p>The work day ended a half-hour later; the tape drive that the server uses for backup was being finicky. I won.</p>
<p>JC <del>Pennies</del> Penny&#8217;s being open until 9 tonight (future reference: they close at 5 on holidays like the 4th), I stopped to pick up a couple ties and a shirt. I saved $30-something, and discovered that you cannot apply for a Penny&#8217;s card until you are 18. Blast.</p>
<p>And <em>now</em> the brownies are done.</p>

",exigraff wp_posts.csv
2006-07-08 22:36:00,Pirates and Ninjas,"<p><img src=""http://exigraff.com/blog/wp-content/old_images/91.jpg"" /></p>	<p><img src=""http://exigraff.com/blog/wp-content/old_images/90.jpg"" /></p>

<p>Two things to note today, the first being that Pirates 2 was excellent. Davy Jones was seriously the coolest. I say this with a markedly straight face in light of how clich̩d that sounds.</p>

<p>But honestly. He has tentacles and plays the organ with them. How cool <em>is</em> that? I&#8217;ve thrown in a shot of him over der on the left. Wow.</p>

<p>The second thing worth noting is that Google has upgraded their Video services. A few videos are now free: sponsors like LowerMyBills.com have enabled you to watch full-length movies like <a href=""http://video.google.com/videoplay?docid=-4373980013322075463"">Deadly Kung Fu Lady</a>. Thanks, guys.</p>",exigraff wp_posts.csv
2006-07-10 05:24:00,Projects.,"<ol>
<li>I&#8217;m easily distracted. If it&#8217;s new and shiny, I&#8217;m there.</li>
<li>I also have ideas. Things that I&#8217;d <em>love</em> to do, and hey &#8211; why not?</li>
</ol>
<p>These two things combined make for very little productivity on the initiatives that I begin on my own. I&#8217;ve got&#8230; what, Prospork, Gradflag, SuperBucket, CLASSYgeek&#8230; Four entirely seperate projects that could each do very well. But what to work on? Prospork is relatively stable, Gradflag is little more than a concept, SuperBucket is halfway complete, CLASSYgeek has been started and restarted more times than I care to count. Blast.</p>
<p>Right, I&#8217;m going to lay them all out on the table. Now.</p>
<p><strong>Gradflag</strong>
<ul>
<li>Service: customizable/extensible online grad announcements/invitations, RSVP functionality</li>
<li>Target market: seniors in HS/college</li>
<li>Notes: should this be a paid service, then?</li>
</ul></p>
<p><strong>SuperBucket</strong>
<ul>
<li>Service: note storage/organization</li>
<li>Target market: scatterbrained individuals who spend a lot of time on a computer</li>
<li>Notes: half-done; working on note organization/retrieval</li>
</ul></p>
<p><strong>CLASSYgeek</strong>
<ul>
<li>Service: news, a community, merchandise</li>
<li>Target market: geeks who are do not fit the geek stereotype &#8211; out of touch with reality, failing personal hygiene, etc. &#8211; <em>classy</em> geeks</li>
<li>Notes: should this be for tech geeks alone, or expanded for art, music, science, etc? Powered by Textpattern, Drupal&#8230;?</li>
</ul></p>
<p>Bah. I really want to see all three go somewhere. For whoever&#8217;s reading this &#8211; if you have any experience in web dev and have been taken by any of the three concepts presented above, let me know.</p>

",exigraff wp_posts.csv
2006-07-11 03:32:00,MDA Lock-In,"<p>Yes, it&#8217;s a fundraiser. I&#8217;m not ashamed to be involved, even though some of its materials are a bit&#8230; cheesy. :)</p>
<p>My good friend Matt H (hello, Matt) told someone that I would be a good person to be locked up for a fundraiser, and here I am. This is for the Muscular Dystrophy Association, and what <em>you&#8217;re</em> doing is helping me raise bail money.</p>
<p><a href=""http://www.mdaevent.org/ParticipantInfo.aspx?j=be15d9b2-05b9-47c5-a7ba-664d49f0119c"">Click here</a> to take a gander at my own little participant&#8217;s page (excuse the website itself; the ball-and-chain graphic is my addition &#8211; yes, it does look like an advertisement from the 90&#8217;s). If you&#8217;ve got a credit card, drop in a few dollars. Nothing huge &#8211; you don&#8217;t even have to do the $65 for a minute of research, you tightwad. Kidding, kidding &#8211; $65 is more than I&#8217;d donate. But then, I&#8217;m not even out of high school.</p>
<p>So yeah. Do your part &#8211; <strong><a href=""http://www.mdaevent.org/ParticipantInfo.aspx?j=be15d9b2-05b9-47c5-a7ba-664d49f0119c"">bail me out</a></strong>. You know you want to.</p>

",exigraff wp_posts.csv
2006-07-11 05:54:00,Video Game Music on the Organ,"<p><embed style=""width:400px; height:326px;"" id=""VideoPlayback"" align=""middle"" type=""application/x-shockwave-flash"" src=""http://video.google.com/googleplayer.swf?docId=5442182124751353607"" allowScriptAccess=""sameDomain"" quality=""best"" bgcolor=""#ffffff"" scale=""noScale"" salign=""TL""  FlashVars=""playerMode=embedded""> </embed></p>
<p>I fully approve.</p>

",exigraff wp_posts.csv
2006-07-12 16:31:51,Wednesday,"<p><img src=""http://exigraff.com/blog/wp-content/old_images/92.gif"" /></p>	<p>[ yawn ] I watched entirely too many surreal music videos last night. Though <a href=""http://video.google.com/videoplay?docid=8769452857153111155&#38;q=glosoli"">Glosoli</a> wasn&#8217;t bad.</p>
<p>Scott Adams&#8217; thought for the day&#8230; The last set of Dilbert cartoons haven&#8217;t been that great, but I do like this one. <em>I&#8217;d</em> buy Kevlar lederhosen.</p>
<p>I have a noon presentation scheduled for Kiwanis. Off to tell them that, yes, the World Affairs Seminar was indeed worth going to and that they should sponsor more people in the future.</p>
<p>[ yawn ]</p>

",exigraff wp_posts.csv
2006-07-13 23:39:00,Sedlak Chevrolet,"<p><img src=""http://exigraff.com/blog/wp-content/old_images/93.jpg"" /></p>	<p><img src=""http://exigraff.com/blog/wp-content/old_images/94.jpg"" /></p>

<ol>
<li>Private notice. Mailed to a specific name&#8230; or current resident.</li>
<li>Blatantly fake watermarks</li>
<li>The secured document was secured with one of those little sticker things.</li>
</ol>

<p>Just like <a href=""http://ikebowen.com/2006/06/02/thoroughly-disillusioned"">the last one</a>, this is a phenomenally <em>bad</em> piece of advertising. Interestingly, the number under the little scratcher matched the number printed above it. Then again, there is absolutely no indication that either number was printed especially <em>for</em> my copy of the mailing. Usually something like that would be done seperately with a dot-matrix mass printer or something. The barcode too.</p>

<p>But then, this is something from &#8220;Commercial Solicitation&#8221;. The street address actually matches up to the Baerresen Group, Inc (here&#8217;s <a href=""http://maps.google.com/maps?q=3283+Trade+Center+Dr,+92507&amp;ie=UTF8&amp;ll=33.983198,-117.346199&amp;spn=0.003158,0.006781&amp;t=k&amp;om=1"">a satellite pic of their building</a>), the <span class=""caps"">VPO</span> of which declares himself to be 84% punk rock on his Myspace (he has 30 friends). These are the guys who brought you <a href=""http://www.tkevents.com/"">Turn-Key Events</a>, which you can call at 1-866-<span class=""caps"">GROSS</span>-4-U. No, I&#8217;m serious.</p>

<p>[ sigh ] If anyone from Sedlak (or the Baerresen Group) reads this, know that you <em>can</em> do better. <em>I</em> believe in you. Honest.</p>

<p><strong>Update</strong><br />
Upon closer inspection, it turns out that there&#8217;s no problem in having all of the mailings have winning scratcher thingers.</p>

<p>The fine print says this (among other things):</p>

<p><em>Valid for first winning number. &#8230; Odds of winning grand prize $2,500 Wal-Mart Gift Card are 1:70,078. Odds of winning $5 Wal-Mart Gift Card area 70,077:70,078. Grand Prize will be awarded if winning number is presented during dates and times listed only.</em></p>

<p>And there you are. Assuming that all 70,078 recipients of this mailing are present, one will win the advertised $2,500 card. The rest, save the one lucky one, will get $5 cards. Not bad, I suppose.  That&#8217;ll pay for the gas to pick up the card, anyway.</p>

<p><strong>Final thought</strong><br />
&#8220;No gimmicks&#8221;, it says. No gimmicks. So the scratcher is&#8230;?</p>",exigraff wp_posts.csv
2006-07-17 04:35:44,"""VoipBuster beats the Skype offer!""","<p>I&#8217;m not sure how they&#8217;re <em>beating</em> it, but <a href=""http://voipbuster.com"">VoipBuster</a> is also now offering free calling in the US. Not Canada, though, so I don&#8217;t know how it&#8217;s beating Skype&#8230;</p>
<p>Though VoipBuster does have a couple cool features that <a href=""http://skype.com"">Skype</a> does not, namely text messaging and (my favorite) connecting any landline/cell phone to any other landline/cell phone, using your VB credit. And with free calling in the US, it&#8217;s like free long distance. Nice.</p>
<p>Works like this: you give VoipBuster the number of whatever phone you&#8217;re closest to (e.g. 1XXXxxxXXXX) and the phone number that you want to call. International format, remember, so the 1 in front is necessary. Hit the appropriate button, and your home phone rings. Pick it up, and you&#8217;ll be connected to the other phone number. It&#8217;ll ring, and you&#8217;re free to talk for&#8230; hm. Forever? I&#8217;m not sure if there&#8217;s a limit.</p>
<p>Anyway, <strong><a href=""http://voipbuster.com"">VoipBuster</a></strong>. Good stuff, that.</p>

",exigraff wp_posts.csv
2006-07-18 04:50:00,Random bits,"<p><img src=""http://exigraff.com/blog/wp-content/old_images/95.jpg"" /></p>	<p>Aaron, in reference to Zelda: &#8220;Isaac, is the Karaoke Village the one in the forest?&#8221; &#8220;The Kokiri?&#8221;</p>
<p>Hannah, leaning over the table while her nose bleeds, speaking sedately to Ethan who is fetching the tissues: &#8220;Quick, please.&#8221;</p>
<p>Hannah, after Mom told her to wash her shirt in cold water to get the blood out: &#8220;But I&#8217;m wearing three shirts!&#8221; Mom: &#8220;Yes, but only the white one got blood on it.&#8221;</p>
<p>Rosy, remarking on how the innermost toe is not always the longest: &#8220;Your toes should be like&#8230; the Cingular bars.&#8221;</p>
<p>From scene 76 of <a href=""http://www.dailyscript.com/scripts/the_matrix.pdf"">The Matrix script</a>: &#8220;Morpheus nods to a blind man who nods back.&#8221;</p>
<p><a href=""http://ipa.buffalostate.edu/~paula/"">Paula Darmsteader</a>: &#8220;The designers are upset.&#8221; </p>

",exigraff wp_posts.csv
2006-07-18 19:08:00,AIM Convo,"[10:58] Nbowen**: I seee you on the computer! what, you checking your email?<br />
[10:58] *** Auto-response sent to Nbowen30: I'm at work - contact me at your own risk. Or mine, whichever. :)<br />
[10:58] ikebowen: Who are you?<br />
[10:58] ikebowen: This seems like spam.<br />
[10:58] Nbowen**: this is your daughter Natalie<br />
[10:59] Nbowen**: I'm at work, using someones elses computer<br />
[10:59] ikebowen: Ah. Well, Natalie, dahling, you'll be suprised to find out that I'm both 17 and unwed.",exigraff wp_posts.csv
2006-07-18 23:27:04,2Advanced - v5: Attractor,"<p><a href=""http://2advanced.com"">2Advanced Studios</a> has done it again &#8211; a rediculously <em>good</em> edition of their website that would make any respectable designer curl up under their desk and not come out for a very long time.</p>
<p>... I&#8217;m not even going to say anything else. And judging by the comments that they&#8217;re getting, they may have inspired a new religion.</p>

",exigraff wp_posts.csv
2006-07-23 21:25:00,eMusic,"<p>Right, let&#8217;s establish this: I&#8217;m a nice guy. No, honest: I&#8217;m about to give you 50 free music downloads when I could just give you 25 and get 50 myself for referring you. DRM-free, too.</p>
<p>These tracks are courtesy <a href=""http://emusic.com"">eMusic</a>, a music download service that I haven&#8217;t checked the legality of yet, but the fact that they&#8217;re still in service is a point in their favor.</p>
<p>This fantasgreat offer is courtesy <a href=""http://dxgtechusa.com"">DXG</a>, the guys that I&#8217;m going to grab <a href=""http://www.tigerdirect.com/applications/SearchTools/item-details.asp?EdpNo=2155046&#38;CatId=0"">a camera</a> from. They&#8217;ve paired up with eMusic, randomly, and are offering 50 free downloads. Why?</p>
<p><a href=""http://www.dxgtechusa.com/marketing/eMusic.html"">Click here</a> and grab &#8216;em. eMusic will ask you for a credit card, but no worries: download your music within two weeks, cancel your account within that timespan, and you&#8217;ll not be charged. Cool.</p>

",exigraff wp_posts.csv
2006-07-27 04:02:00,Life and Music and Automated Ad Farms,"<p><strong>Life</strong><br />
is good. Steady and engaging job, decent work on the side, friends here and there to variously hang out or talk online for hours with.</p>
<p><strong>Music</strong><br />
is lacking, unfortunately. I miss Calah. I did put music to one of her lyric sets, though, and a writing a song. You might remember the audio concept posted earlier &#8211; Stay With Me? Yeah, it&#8217;s branching off of that. And speaking of audio concepts, here&#8217;s a breakbeat loop for you to play with: <txp:file_download_link id=""14""><txp:file_download_name /></txp:file_download_link>.</p>
<p><strong>Automated Ad Farms</strong><br />
While looking for the site referred to by the <a href=""http://video.google.com/videoplay?docid=-9079962398013227200&#38;q=Chronic+of+Narnia"">Lazy Sunday / Chronic of Narnia video</a>, I ran into <a href=""http://skoop.com"">skoop.com</a>, an unusually tasteful example of an automated ad farm. It&#8217;s another ad directory site (you&#8217;d think <a href=""http://overture"">Overture</a> would have caught on by now), but it doesn&#8217;t look ugly (<a href=""http://domainsponsor.com/"">DomainSponsor</a>, you should be ashamed of yourself).</p>
<p>As long as I&#8217;ve mentioned DomainSponsor, let&#8217;s go into a bit more depth. DS is responsible for those strange blue sites that open popups from <a href=""http://revenue.net"">Revenue.net</a> (same group, by the look of the logos). The domains get parked and an iframe points to a URL like <a href=""http://landing.domainsponsor.com/?a_id=208&#38;domainname=referer_detect"">http://landing.domainsponsor.com/?a_id=208&#38;domainname=referer_detect</a>. Interestingly enough, when you go directly to a url like this, the site returned is branded with &#8220;Information.com&#8221;. (Slogan: &#8220;What you need, when you need it.&#8221; That&#8217;s <a href=""http://www.google.com/search?q=%22What+you+need%2C+when+you+need+it%22"">almost a clich̩</a>.) It looks like the landing page pulls the parked domain from the referrer data, and when it doesn&#8217;t have any, it uses information.com as the default.</p>
<p>Which is silly, because <a href=""http://information.com"">information.com</a> doesn&#8217;t point to DomainSponsor. Information.com&#8217;s had a <a href=""http://web.archive.org/web/*/http://information.com"">long and varied history</a>, posing as <a href=""http://web.archive.org/web/19971210191003/http://information.com/"">the future site of Interband communications</a> (they were hiring, and they evidently didn&#8217;t get anyone), <a href=""http://web.archive.org/web/19980208165949/http://information.com/"">i2x Media</a> (&#8220;Internet advertising is failing. i2x Media is going to fix it.&#8221; Not with invalid HTML, you&#8217;re not.), and a bland page (well, they&#8217;re all bland) with an empty mailto link (which did get fixed on Feb 29, 2000). It was hijacked momentarily by John Somebody (affiliated with <a href=""http://www.girosol.com/;"">Girosol</a> they should never have been given a copy of Flash). May of 2003 is when the domain first appeared to have succumbed to immoral search/content advertising bots, in whose hands it then stayed for some time.</p>
<p>When it became a legit-looking search site, we shall never know. At least whoever&#8217;s in control of it now tried to make it look good &#8211; it really is an ad farm after all.</p>
<p>[ two minutes later ]<br />
The site actually does turn out to be the property of <a href=""http://oversee.net"">Oversee.net</a>, the guys behind DomainSponsor .com and Revenue.net. I guess they do the same kind of thing with sites like <a href=""http://degrees.com"">degrees.com</a>, <a href=""http://low.com"">low.com</a> and, interestingly enough, <a href=""http://livedigital.com"">LiveDigital</a> which does actually appear to be a site of some use to people other than advertisers.<br />
&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;<br />
This blog entry is definitive proof of my obsessive tendencies.</p>

",exigraff wp_posts.csv
2006-07-27 17:55:46,How To Get The Supreme Court On Your Back,"<p>Since the Supreme Court ruled that Grokster&#8217;s style of operations <a href=""http://news.com.com/Supreme+Court+rules+against+file+swapping/2100-1030_3-5764135.html"">is illegal</a>, Grokster&#8217;s been out of business.</p>
<p>But feel free to <strong><a href=""http://grokster.com"">visit</a></strong> anyway&#8230; Heh.</p>

",exigraff wp_posts.csv
2006-07-28 16:18:44,Google Project Hosting,"<p>You&#8217;ve heard of Sourceforge. Savannah, Tigris and the rest have just taken a rather large hit with the release of <a href=""http://code.google.com/hosting/"">Google Project Hosting</a>.</p>
<p>This is going to take off. You know why? Because it&#8217;s <em>Google</em>, silly.</p>
<p>Google&#8217;s been building up to this &#8211; their <a href=""http://code.google.com"">Code area</a> to begin with, and especially the <a href=""http://code.google.com/soc/"">Summer of Code</a>, initiated in 2005.</p>
<p>Project Hosting will take off, but it&#8217;ll be a gradual start. The service release was done quietly, and though <a href=""http://zdnet.com/"">ZDNet</a> did catch on, its biggest publicity at first is probably coming from Digg. Project Hosting isn&#8217;t even linked from the Code Base itself, nor does it appear in a search for <a href=""http://www.google.com/search?q=google+project+hosting&#38;start=0&#38;ie=utf-8&#38;oe=utf-8&#38;client=firefox-a&#38;rls=org.mozilla:en-US:official"">google project hosting</a>.</p>
<p>The day that Google goes corrupt will be very, very bad indeed.</p>

",exigraff wp_posts.csv
2006-07-31 07:11:00,Recent Acquisitions,"<p><img src=""http://exigraff.com/blog/wp-content/old_images/98.jpg"" /></p>	<p><img src=""http://exigraff.com/blog/wp-content/old_images/99.jpg"" /><br />
<img src=""http://exigraff.com/blog/wp-content/old_images/100.jpg"" /><br />
<img src=""http://exigraff.com/blog/wp-content/old_images/101.jpg"" /><br />
<img src=""http://exigraff.com/blog/wp-content/old_images/102.jpg"" /><br />
<img src=""http://exigraff.com/blog/wp-content/old_images/103.jpg"" /></p>

<ol>
<li>Courtesy TigerDirect, I am now the proud owner of a DXG518, an excellent little camera that is both small and capable of taking perfectly serviceable shots. All for ~$100, too. Good stuff, that.</li>
<li>Three small hermit crabs are now in my possession. Father John, Robin and Fuzz. Robin is fetching, Fuzz looks a bit like a tick, and Father John is amiably majestic as only a hermit crab can be.</li>
</ol>

<p>Got to hang out with Calah for a bit this evening &#8211; we made our own lattes and music. :) I&#8217;ve missed her more than I realized this summer. Can&#8217;t think what the next year&#8217;s going to be like, with everyone out for college. Bah.</p>",exigraff wp_posts.csv
2006-08-01 04:14:00,Suggestions for your PA system.,"<p>(<a href=""http://ikebowen.com/2006/07/01/traditional-values"">followup</a>)</p>
<p>Hello,</p>
<p>Along with 23 other households, I make my home on the lovely shores of Snowden Lake. Beautiful &#8211; you couldn&#8217;t have chosen a better spot to park your camp. The clear waters of the lake complement the grounds, making it the ideal place for a home or summer camp, as it were. Consider yourself fortunate &#8211; with real estate prices on the rise, it&#8217;s lucky for all of us that you got in before the rates became too high.</p>
<p>And you&#8217;ve made excellent use of the property, building on and sometimes over what the previous landowners had established. They would be proud, and especially so if they were told of their public address system that you&#8217;ve extended. At least, I assume you&#8217;ve extended it &#8211; I didn&#8217;t hear is used half so much under the previous owners as I do now.</p>
<p>Not that that&#8217;s a bad thing in the least, for I do enjoy the musical selections that you choose to broadcast. The occasional announcements are a bit of a bother, but as an avid fan of Panic at the Disco, Natasha Bedingfield and the like, I can easily overlook these.</p>
<p>My only problem is that I can&#8217;t quite seem to make out the actual words of the songs that are played. The volume isn&#8217;t a problem at all (I estimate it to be a good 40 decibels from where I am now &#8211; at least half a mile from the lakeside itself), but the clarity of the sound itself isn&#8217;t very good.</p>
<p>I&#8217;d suggest better equipment. You&#8217;ve got the principles of projection down (which reminds me &#8211; I stop by for a closer look; the sound from my living room stereo won&#8217;t reach the upper level of the house), but you might want to add a couple more high-level speakers (maybe a Mackie &#8211; they&#8217;re known for sound accuracy, and the dispersion ratios are incredible) and raise them up a bit. I suspect the trees are muddying the sound, and while you&#8217;ve made it better by removing a portion of them, raising the speakers themselves above the treeline and pointing them at perhaps a -15 degree angle from horizontal would help a great deal. There&#8217;s really no point in listening to a song from Panic and not being able to hear it word for uncensored word, right?</p>
<p>Take this into consideration. Your taste in music is fine, as it the projection level itself, but the clarity leaves a bit to be desired. I&#8217;m sure my neighbours agree, and be assured that we support you in this endeavour.</p>
<p>And hey, if better equipment won&#8217;t fit in your budget, just turn it up. Do us all a favor.</p>
<p>Sincerely,</p>
<p>Isaac Bowen</p>
<p>P.S. Idea! Adding a few subwoofers wouldn&#8217;t hurt &#8211; water carries bass like you wouldn&#8217;t believe.<br />
P.P.S. And the new-age-ish selections played during the evening are excellent. Sound clarity isn&#8217;t a problem there; flute music was meant to be heard through miles of trees.</p>

",exigraff wp_posts.csv
2006-08-02 20:13:37,1 Month of Free Blockbuster,"<p>TigerDirect would <em>like</em> to say that they&#8217;re giving you a <a href=""http://www.tigerdirect.com/sectors/blockbuster/"">free month of Blockbuster</a>, but when the <a href=""http://www.tigerdirect.com/sectors/blockbuster/thankyou.asp"">redemption page</a>? (shown after an order) is unprotected and they don&#8217;t even give you a  promo code to use in the final <a href=""http://www.blockbuster.com/acctmgmt/displayRegisterSubName.action?planID=25029"">Blockbuster signup form</a>. Silly.</p>
<p>But you&#8217;ll note that, in the Blockbuster URL (/acctmgmt/displayRegisterSubName.action?planID=25029), the planID variable looks like it might be important for the special offer. Nah. Chop it off, you get the same thing.</p>
<p>False promos. Bah. TigerDirect, you can do better. -10 cool points.</p>

",exigraff wp_posts.csv
2006-08-04 17:02:00,"Shredding Adventures, Episode 1","<p><center><embed style=""width:400px; height:326px;"" id=""VideoPlayback"" type=""application/x-shockwave-flash"" src=""http://video.google.com/googleplayer.swf?docId=2289857057944589098&#38;hl=en""> </embed></center></p>
<p>C. Holland bravely takes on the shredder.</p>

",exigraff wp_posts.csv
